layer,cycle,held,distinct_real,distinct_shuffled
16,9,49152,49152,49152
16,10,24576,24576,24576
16,11,12288,12288,12288
16,12,6144,6144,6144
17,1,12582912,15876,15876
17,2,6291456,5626148,5627109
17,3,3145728,3145728,3145728
17,4,1572864,1572864,1572864
17,5,786432,786432,786432
17,6,393216,393216,393216
17,7,196608,196608,196608
17,8,98304,98304,98304
17,9,49152,49152,49152
17,10,24576,24576,24576
17,11,12288,12288,12288
17,12,6144,6144,6144
18,1,12582912,15876,15876
18,2,6291456,5626193,5627626
18,3,3145728,3145728,3145728
18,4,1572864,1572864,1572864
18,5,786432,786432,786432
18,6,393216,393216,393216
18,7,196608,196608,196608
18,8,98304,98304,98304
18,9,49152,49152,49152
18,10,24576,24576,24576
18,11,12288,12288,12288
18,12,6144,6144,6144
19,1,12582912,15876,15876
19,2,6291456,5627800,5628254
19,3,3145728,3145728,3145728
19,4,1572864,1572864,1572864
19,5,786432,786432,786432
19,6,393216,393216,393216
19,7,196608,196608,196608
19,8,98304,98304,98304
19,9,49152,49152,49152
19,10,24576,24576,24576
19,11,12288,12288,12288
19,12,6144,6144,6144
20,1,12582912,15876,15876
20,2,6291456,5626455,5627973
20,3,3145728,3145728,3145728
20,4,1572864,1572864,1572864
20,5,786432,786432,786432
20,6,393216,393216,393216
20,7,196608,196608,196608
20,8,98304,98304,98304
20,9,49152,49152,49152
20,10,24576,24576,24576
20,11,12288,12288,12288
20,12,6144,6144,6144
21,1,12582912,15876,15876
21,2,6291456,5624797,5628018
21,3,3145728,3145728,3145728
21,4,1572864,1572864,1572864
21,5,786432,786432,786432
21,6,393216,393216,393216
21,7,196608,196608,196608
21,8,98304,98304,98304
21,9,49152,49152,49152
21,10,24576,24576,24576
21,11,12288,12288,12288
21,12,6144,6144,6144
22,1,12582912,15876,15876
22,2,6291456,5625030,5628017
22,3,3145728,3145728,3145728
22,4,1572864,1572864,1572864
22,5,786432,786432,786432
22,6,393216,393216,393216
22,7,196608,196608,196608
22,8,98304,98304,98304
22,9,49152,49152,49152
22,10,24576,24576,24576
22,11,12288,12288,12288
22,12,6144,6144,6144
23,1,12582912,15876,15876
23,2,6291456,5626038,5627758
23,3,3145728,3145728,3145728
23,4,1572864,1572864,1572864
23,5,786432,786432,786432
23,6,393216,393216,393216
23,7,196608,196608,196608
23,8,98304,98304,98304
23,9,49152,49152,49152
23,10,24576,24576,24576
23,11,12288,12288,12288
23,12,6144,6144,6144
24,1,12582912,15876,15876
24,2,6291456,5620855,5627466
24,3,3145728,3145728,3145728
24,4,1572864,1572864,1572864
24,5,786432,786432,786432
24,6,393216,393216,393216
24,7,196608,196608,196608
24,8,98304,98304,98304
24,9,49152,49152,49152
24,10,24576,24576,24576
24,11,12288,12288,12288
24,12,6144,6144,6144
25,1,12582912,15876,15876
25,2,6291456,5617029,5626417
25,3,3145728,3145728,3145728
25,4,1572864,1572864,1572864
25,5,786432,786432,786432
25,6,393216,393216,393216
25,7,196608,196608,196608
25,8,98304,98304,98304
25,9,49152,49152,49152
25,10,24576,24576,24576
25,11,12288,12288,12288
25,12,6144,6144,6144
26,1,12582912,15876,15876
26,2,6291456,5605273,5627296
26,3,3145728,3145728,3145728
26,4,1572864,1572864,1572864
26,5,786432,786432,786432
26,6,393216,393216,393216
