core_id,plus,minus,plane
1205,24552,24491,yes
1206,13784,13889,yes
1207,24571,24599,yes
1208,138425,138092,yes
1209,24583,24590,yes
1210,24645,24412,yes
1211,111050,110031,yes
1212,3214,3132,yes
1213,6180,6114,yes
1214,813,771,yes
1215,24625,24802,yes
1216,814,788,yes
1217,3032,3155,yes
1218,24373,24454,yes
1219,49368,49300,yes
1220,24374,24391,yes
1221,1469,1551,yes
1222,6256,6101,yes
1223,3009,3078,yes
1224,6165,5975,yes
1225,12313,12154,yes
1226,12291,12454,yes
1227,24747,24895,yes
1228,13880,13978,yes
1229,887,908,yes
1230,24867,24219,yes
1231,104077,103825,yes
1232,12217,12402,yes
1233,786,798,yes
1234,16210,12238,yes
1235,53384,49133,yes
1236,6243,6244,yes
1237,1451,1584,yes
1238,12486,12253,yes
1239,6157,6100,yes
1240,3073,3011,yes
1241,1521,1561,yes
1242,13269,13017,yes
1243,6128,9907,yes
1244,3037,3039,yes
1245,20438,12901,yes
1246,24518,24544,yes
1247,12083,12552,yes
1248,3072,3201,yes
1249,6074,6057,yes
1250,6136,6162,yes
1251,6192,6041,yes
1252,27337,31553,yes
1253,6134,6105,yes
1254,12345,12049,yes
1255,6965,6732,yes
1256,16445,12548,yes
1257,419,461,yes
1258,6244,6162,yes
1259,32550,24583,yes
1260,64653,64849,yes
1261,3154,3109,yes
1262,6092,6185,yes
1263,6258,6201,yes
1264,1788,1827,yes
1265,27763,27342,yes
1266,13761,13891,yes
1267,49603,49393,yes
1268,7949,6075,yes
1269,6512,6530,yes
1270,12176,12268,yes
1271,762,823,yes
1272,24857,28231,yes
1273,3164,3039,yes
1274,12342,12514,yes
1275,3211,3102,yes
1276,68288,69132,yes
1277,3075,6712,yes
1278,847,868,yes
1279,1548,1611,yes
1280,5970,6106,yes
1281,3086,3102,yes
1282,6107,6216,yes
1283,9967,6052,yes
1284,6191,6200,yes
1285,7133,6858,yes
1286,3065,3082,yes
1287,833,821,yes
1288,11918,11764,yes
1289,2537,2479,yes
1290,24529,24572,yes
1291,75823,75767,yes
1292,68691,68685,yes
1293,11990,12208,yes
1294,3074,3102,yes
1295,12332,12299,yes
1296,24969,24330,yes
1297,1509,1492,yes
1298,2945,3079,yes
1299,12152,12330,yes
1300,12181,12336,yes
1301,9811,6061,yes
1302,37648,37126,yes
1303,28093,28117,yes
1304,6079,6159,yes
1305,84300,84094,yes
1306,72264,72875,yes
1307,2564,2474,yes
1308,12913,13050,yes
1309,57360,56902,yes
1310,73044,72989,yes
1311,425,413,yes
1312,24367,24536,yes
1313,3108,2993,yes
1314,27811,27787,yes
1315,51788,51719,yes
1316,6057,6171,yes
1317,52394,52245,yes
1318,24614,24555,yes
1319,1522,1539,yes
1320,5076,5150,yes
1321,80840,81048,yes
1322,12970,12192,yes
1323,85554,85634,yes
1324,20897,21118,yes
1325,31121,27797,yes
1326,816,890,yes
1327,7070,6877,yes
1328,23499,23668,yes
1329,765,806,yes
1330,3020,3024,yes
1331,60448,60890,yes
1332,12421,12323,yes
1333,24597,24662,yes
1334,3042,3117,yes
1335,6136,6196,yes
1336,6162,6087,yes
1337,6202,6134,yes
1338,94874,94486,yes
1339,24573,28154,yes
1340,50270,50342,yes
1341,15086,15246,yes
1342,3151,3157,yes
1343,39479,39794,yes
1344,6447,6168,yes
1345,8402,8567,yes
1346,35387,35376,yes
1347,1868,1723,yes
1348,47476,47569,yes
1349,7004,6784,yes
1350,5076,4739,yes
1351,5376,5336,yes
1352,9821,9837,yes
1353,5535,5284,yes
1354,6100,6179,yes
1355,382,405,yes
1356,6907,7004,yes
1357,722,798,yes
1358,3584,3483,yes
1359,6321,6132,yes
1360,65310,65454,yes
1361,19843,19862,yes
1362,30938,31394,yes
1363,6098,5867,yes
1364,12422,12424,yes
1365,2980,3192,yes
1366,773,772,yes
1367,6938,6898,yes
1368,1550,1578,yes
1369,12518,12257,yes
1370,12315,11987,yes
1371,5,7,yes
1372,3128,2996,yes
1373,3077,3157,yes
1374,5986,6189,yes
1375,11985,12459,yes
1376,3303,3381,yes
1377,53859,53622,yes
1378,3008,3134,yes
1379,386,403,yes
1380,12371,12508,yes
1381,3038,3043,yes
1382,6255,6182,yes
1383,3425,3382,yes
1384,55,49,yes
1385,88,82,yes
1386,24397,24604,yes
1387,92,102,yes
1388,1515,1557,yes
1389,1519,1475,yes
1390,377,416,yes
1391,6166,6286,yes
1392,420,404,yes
1393,6197,6142,yes
1394,6106,6067,yes
1395,12288,12067,yes
1396,6754,6962,yes
1397,1497,1545,yes
1398,12378,12357,yes
1399,1636,1568,yes
1400,12599,12270,yes
1401,12268,12013,yes
1402,12172,12241,yes
1403,12225,12420,yes
1404,6730,6511,yes
1405,3329,3252,yes
1406,804,747,yes
1407,3173,2991,yes
1408,6151,6414,yes
1409,7059,6762,yes
1410,430,366,yes
1411,6206,6056,yes
1412,6260,6071,yes
1413,3094,2999,yes
1414,6180,6273,yes
1415,3131,3051,yes
1416,6207,6110,yes
1417,3464,3407,yes
1418,16693,16814,yes
1419,6173,6089,yes
1420,6038,9774,yes
1421,769,4261,yes
1422,10799,7072,yes
1423,6599,3030,yes
1424,126,125,yes
1425,12506,12386,yes
1426,3038,2952,yes
1427,3146,3097,yes
1428,795,736,yes
1429,1527,1575,yes
1430,3074,3093,yes
1431,3086,3045,yes
1432,3082,3132,yes
1433,13893,13948,yes
1434,6176,6250,yes
1435,2974,3148,yes
1436,382,184,yes
1437,6141,6066,yes
1438,3033,3132,yes
1439,3149,3049,yes
1440,1737,1667,yes
1441,3033,3193,yes
1442,6149,6258,yes
1443,115,121,yes
1444,383,414,yes
1445,12322,12741,yes
1446,3078,3012,yes
1447,3304,3194,yes
1448,3271,3326,yes
1449,1492,1626,yes
1450,3063,3141,yes
1451,6125,5985,yes
1452,12433,12243,yes
1453,12259,12112,yes
1454,3041,3003,yes
1455,1528,1520,yes
1456,400,517,yes
1457,6153,6220,yes
1458,1704,1720,yes
1459,1843,1491,yes
1460,3088,3017,yes
1461,832,775,yes
1462,14018,13950,yes
1463,1803,1736,yes
1464,749,767,yes
1465,806,754,yes
1466,6191,6508,yes
1467,3122,2979,yes
1468,6483,6561,yes
1469,1581,1612,yes
1470,1524,1621,yes
1471,1665,1509,yes
1472,42052,42151,yes
1473,424,472,yes
1474,2983,3173,yes
1475,1518,1557,yes
1476,3010,2966,yes
1477,1680,1793,yes
1478,1577,1485,yes
1479,1617,1579,yes
1480,1667,1508,yes
1481,20,31,yes
1482,733,744,yes
1483,22508,22091,yes
1484,785,809,yes
1485,384,419,yes
1486,756,785,yes
1487,5003,3074,yes
1488,1196,215,yes
1489,743,765,yes
1490,1683,1707,yes
1491,1470,1604,yes
1492,816,745,yes
1493,6803,6822,yes
1494,12322,12313,yes
1495,26265,26186,yes
1496,1732,1698,yes
1497,379,377,yes
1498,3071,3053,yes
1499,360,368,yes
1500,52,57,yes
1501,1484,1548,yes
1502,376,408,yes
1503,6079,5978,yes
1504,430,371,yes
1505,1621,1573,yes
1506,764,751,yes
1507,1540,1531,yes
1508,373,380,yes
1509,1554,1501,yes
1510,6233,6062,yes
1511,1633,1740,yes
1512,86,93,yes
1513,3054,3128,yes
1514,3434,3494,yes
1515,1456,1543,yes
1516,208,171,yes
1517,3176,2965,yes
1518,365,377,yes
1519,768,745,yes
1520,1542,1526,yes
1521,18082,18054,yes
1522,384,399,yes
1523,3379,3486,yes
1524,3449,3457,yes
1525,1563,1568,yes
1526,6817,6854,yes
1527,1487,1487,yes
1528,216,222,yes
1529,1721,1773,yes
1530,773,710,yes
1531,48,65,yes
1532,29588,29391,yes
1533,871,837,yes
1534,459,477,yes
1535,189,179,yes
1536,683,793,yes
1537,1652,1594,yes
1538,6488,6256,yes
1539,1097,1073,yes
1540,6449,6457,yes
1541,1564,1524,yes
1542,779,787,yes
1543,1528,1520,yes
1544,197,174,yes
1545,704,783,yes
1546,7826,7783,yes
1547,2807,2885,yes
1548,187,188,yes
1549,796,829,yes
1550,3036,3130,yes
1551,2152,1617,yes
1552,1483,1502,yes
1553,1712,1667,yes
1554,408,404,yes
1555,12185,12375,yes
1556,10273,10222,yes
1557,1560,1574,yes
1558,401,396,yes
1559,420,449,yes
1560,382,388,yes
1561,3074,3103,yes
1562,61,45,yes
1563,102,106,yes
1564,1560,1614,yes
1565,1655,1607,yes
1566,1556,1469,yes
1567,706,773,yes
1568,6935,6965,yes
1569,6304,6391,yes
1570,1461,1511,yes
1571,3030,3033,yes
1572,3093,3028,yes
1573,1653,1710,yes
1574,759,769,yes
1575,6169,6213,yes
1576,738,742,yes
1577,2,3,yes
1578,1543,1474,yes
1579,3051,3221,yes
1580,11,22,yes
1581,1549,1454,yes
1582,1550,1635,yes
1583,398,405,yes
1584,3453,3475,yes
1585,1618,1565,yes
1586,1504,1520,yes
1587,3521,3839,yes
1588,6041,6095,yes
1589,1585,1508,yes
1590,1556,1524,yes
1591,208,240,yes
1592,383,366,yes
1593,1537,1559,yes
1594,1716,1723,yes
1595,6277,6165,yes
1596,1674,1635,yes
1597,1503,1566,yes
1598,1567,1582,yes
1599,10648,10839,yes
1600,1429,1515,yes
1601,15874,16048,yes
1602,774,746,yes
1603,226,181,yes
1604,779,779,yes
1605,820,769,yes
1606,1503,1526,yes
1607,6191,6238,yes
1608,3114,3147,yes
1609,3130,3079,yes
1610,377,351,yes
1611,438,423,yes
1612,2969,3017,yes
1613,1540,1575,yes
1614,408,452,yes
1615,791,790,yes
1616,1512,1508,yes
1617,5,11,yes
1618,1569,1535,yes
1619,3119,3043,yes
1620,3085,3006,yes
1621,2917,3120,yes
1622,253,243,yes
1623,3004,3061,yes
1624,1540,1560,yes
1625,391,388,yes
1626,9485,9223,yes
1627,40,68,yes
1628,772,806,yes
1629,3044,3019,yes
1630,6183,6336,yes
1631,3047,3150,yes
1632,407,362,yes
1633,1546,1560,yes
1634,1579,1583,yes
1635,1725,1789,yes
1636,750,744,yes
1637,786,716,yes
1638,3034,3175,yes
1639,1534,1501,yes
1640,881,839,yes
1641,93,106,yes
1642,1605,1616,yes
1643,217,178,yes
1644,3045,2996,yes
1645,1561,1550,yes
1646,805,763,yes
1647,3371,3497,yes
1648,1598,1542,yes
1649,742,767,yes
1650,1536,1579,yes
1651,778,807,yes
1652,1507,1530,yes
1653,824,763,yes
1654,853,967,yes
1655,7445,7425,yes
1656,90,91,yes
1657,118,123,yes
1658,3051,2997,yes
1659,852,837,yes
1660,188,203,yes
1661,104,75,yes
1662,709,795,yes
1663,374,381,yes
1664,729,823,yes
1665,1520,1553,yes
1666,211,188,yes
1667,427,401,yes
1668,1591,1586,yes
1669,49,46,yes
1670,58,53,yes
1671,418,378,yes
1672,209,196,yes
1673,399,388,yes
1674,1773,1715,yes
1675,1455,1353,yes
1676,798,765,yes
1677,61,49,yes
1678,119,84,yes
1679,209,212,yes
1680,1549,1491,yes
1681,379,386,yes
1682,416,363,yes
1683,732,723,yes
1684,3401,3079,yes
1685,172,205,yes
1686,431,359,yes
1687,4368,4341,yes
1688,13626,13783,yes
1689,783,737,yes
1690,8147,8122,yes
1691,381,368,yes
1692,1544,1544,yes
1693,12455,12292,yes
1694,3467,3513,yes
1695,780,735,yes
1696,373,402,yes
1697,893,863,yes
1698,175,201,yes
1699,802,763,yes
1700,747,801,yes
1701,368,383,yes
1702,3090,3125,yes
1703,348,418,yes
1704,727,765,yes
1705,196,191,yes
1706,783,755,yes
1707,3359,3240,yes
1708,875,867,yes
1709,1832,1728,yes
1710,42,46,yes
1711,362,394,yes
1712,188,179,yes
1713,1572,1524,yes
1714,12,9,yes
1715,1531,1533,yes
1716,1547,1571,yes
1717,768,741,yes
1718,1372,1530,yes
1719,1580,1510,yes
1720,1588,1685,yes
1721,809,730,yes
1722,358,354,yes
1723,208,187,yes
1724,3210,3075,yes
1725,85,88,yes
1726,805,719,yes
1727,363,384,yes
1728,1482,1567,yes
1729,4440,4620,yes
1730,1559,1549,yes
1731,17,29,yes
1732,414,423,yes
1733,745,811,yes
1734,431,424,yes
1735,441,435,yes
1736,769,815,yes
1737,174,178,yes
1738,367,365,yes
1739,207,238,yes
1740,475,427,yes
1741,767,743,yes
1742,56,159,yes
1743,447,373,yes
1744,14,22,yes
1745,401,441,yes
1746,762,790,yes
1747,382,383,yes
1748,406,359,yes
1749,893,780,yes
1750,186,193,yes
1751,65,99,yes
1752,440,381,yes
1753,187,178,yes
1754,803,776,yes
1755,752,745,yes
1756,368,353,yes
1757,777,712,yes
1758,385,393,yes
1759,389,378,yes
1760,350,359,yes
1761,105,87,yes
1762,3647,3548,yes
1763,424,411,yes
1764,794,865,yes
1765,382,379,yes
1766,760,765,yes
1767,1723,1738,yes
1768,101,111,yes
1769,88,95,yes
1770,1555,1585,yes
1771,719,725,yes
1772,186,201,yes
1773,4088,4021,yes
1774,376,362,yes
1775,346,367,yes
1776,775,782,yes
1777,404,422,yes
1778,2146,2049,yes
1779,1594,1495,yes
1780,89,90,yes
1781,806,892,yes
1782,51,43,yes
1783,89,102,yes
1784,200,206,yes
1785,1632,1677,yes
1786,157,198,yes
1787,175,179,yes
1788,394,408,yes
1789,23,28,yes
1790,98,89,yes
1791,782,770,yes
1792,105,102,yes
1793,106,103,yes
1794,25,22,yes
1795,425,452,yes
1796,1873,1882,yes
1797,397,409,yes
1798,43,62,yes
1799,376,408,yes
1800,87,119,yes
1801,38,61,yes
1802,1535,1569,yes
1803,222,181,yes
1804,870,953,yes
1805,780,776,yes
1806,208,233,yes
1807,1540,1533,yes
1808,409,370,yes
1809,6,10,yes
1810,786,767,yes
1811,385,398,yes
1812,102,88,yes
1813,193,197,yes
1814,395,389,yes
1815,347,406,yes
1816,755,762,yes
1817,749,796,yes
1818,198,204,yes
1819,5,6,yes
1820,170,221,yes
1821,215,177,yes
1822,103,113,yes
1823,80,115,yes
1824,102,78,yes
1825,10,10,yes
1826,25,20,yes
1827,2,4,yes
1828,780,721,yes
1829,205,213,yes
1830,2,2,yes
1831,202,167,yes
1832,36,19,yes
1833,387,346,yes
1834,16,15,yes
1835,201,182,yes
1836,387,399,yes
1837,758,817,yes
1838,408,394,yes
1839,772,797,yes
1840,360,190,yes
1841,389,382,yes
1842,186,208,yes
1843,88,87,yes
1844,191,181,yes
1845,385,378,yes
1846,170,198,yes
1847,30,31,yes
1848,365,402,yes
1849,189,187,yes
1850,824,772,yes
1851,94,89,yes
1852,23,28,yes
1853,197,228,yes
1854,34,19,yes
1855,106,100,yes
1856,752,756,yes
1857,2919,2878,yes
1858,105,102,yes
1859,3350,3379,yes
1860,44,66,yes
1861,1,3,yes
1862,414,408,yes
1863,113,91,yes
1864,868,900,yes
1865,908,824,yes
1866,182,204,yes
1867,169,208,yes
1868,122,104,yes
1869,2640,2612,yes
1870,221,176,yes
1871,97,83,yes
1872,45,42,yes
1873,762,767,yes
1874,219,172,yes
1875,51,40,yes
1876,17,14,yes
1877,388,376,yes
1878,405,368,yes
1879,21,41,yes
1880,724,756,yes
1881,256,259,yes
1882,393,335,yes
1883,201,209,yes
1884,12,21,yes
1885,40,36,yes
1886,769,777,yes
1887,379,375,yes
1888,195,222,yes
1889,53,57,yes
1890,738,776,yes
1891,192,206,yes
1892,91,107,yes
1893,377,408,yes
1894,45,54,yes
1895,199,205,yes
1896,96,92,yes
1897,219,239,yes
1898,193,165,yes
1899,16,9,yes
1900,195,206,yes
1901,41,37,yes
1902,868,847,yes
1903,109,85,yes
1904,62,52,yes
1905,192,159,yes
1906,198,187,yes
1907,376,375,yes
1908,757,729,yes
1909,4,8,yes
1910,50,42,yes
